02/07/2014 01:02:49 (Std) 	Created WindowFactory for 'CEGUI/PopupMenu' windows.
02/07/2014 01:02:49 (Std) 	WindowFactory for 'CEGUI/PopupMenu' windows added. (01E2B588)
02/07/2014 01:02:49 (Std) 	Created WindowFactory for 'CEGUI/MenuItem' windows.
02/07/2014 01:02:49 (Std) 	WindowFactory for 'CEGUI/MenuItem' windows added. (01E2B630)
02/07/2014 01:02:49 (Std) 	Created WindowFactory for 'CEGUI/MultiColumnList' windows.
02/07/2014 01:02:49 (Std) 	WindowFactory for 'CEGUI/MultiColumnList' windows added. (01E2B6D8)
02/07/2014 01:02:49 (Std) 	Created WindowFactory for 'CEGUI/MultiLineEditbox' windows.
02/07/2014 01:02:49 (Std) 	WindowFactory for 'CEGUI/MultiLineEditbox' windows added. (01E2B780)
02/07/2014 01:02:49 (Std) 	Created WindowFactory for 'CEGUI/ProgressBar' windows.
02/07/2014 01:02:49 (Std) 	WindowFactory for 'CEGUI/ProgressBar' windows added. (01E2B828)
02/07/2014 01:02:49 (Std) 	Created WindowFactory for 'CEGUI/ScrollablePane' windows.
02/07/2014 01:02:49 (Std) 	WindowFactory for 'CEGUI/ScrollablePane' windows added. (01E2B8D0)
02/07/2014 01:02:49 (Std) 	Created WindowFactory for 'CEGUI/Scrollbar' windows.
02/07/2014 01:02:49 (Std) 	WindowFactory for 'CEGUI/Scrollbar' windows added. (01E2B978)
02/07/2014 01:02:49 (Std) 	Created WindowFactory for 'CEGUI/Slider' windows.
02/07/2014 01:02:49 (Std) 	WindowFactory for 'CEGUI/Slider' windows added. (01E2BA20)
02/07/2014 01:02:49 (Std) 	Created WindowFactory for 'CEGUI/Spinner' windows.
02/07/2014 01:02:49 (Std) 	WindowFactory for 'CEGUI/Spinner' windows added. (01E2BAC8)
02/07/2014 01:02:49 (Std) 	Created WindowFactory for 'CEGUI/TabButton' windows.
02/07/2014 01:02:49 (Std) 	WindowFactory for 'CEGUI/TabButton' windows added. (01E2F3B8)
02/07/2014 01:02:49 (Std) 	Created WindowFactory for 'CEGUI/TabControl' windows.
02/07/2014 01:02:49 (Std) 	WindowFactory for 'CEGUI/TabControl' windows added. (01E2F460)
02/07/2014 01:02:49 (Std) 	Created WindowFactory for 'CEGUI/Thumb' windows.
02/07/2014 01:02:49 (Std) 	WindowFactory for 'CEGUI/Thumb' windows added. (01E2F508)
02/07/2014 01:02:49 (Std) 	Created WindowFactory for 'CEGUI/Titlebar' windows.
02/07/2014 01:02:49 (Std) 	WindowFactory for 'CEGUI/Titlebar' windows added. (01E2F5B0)
02/07/2014 01:02:49 (Std) 	Created WindowFactory for 'CEGUI/Tooltip' windows.
02/07/2014 01:02:49 (Std) 	WindowFactory for 'CEGUI/Tooltip' windows added. (01E2F658)
02/07/2014 01:02:49 (Std) 	Created WindowFactory for 'CEGUI/ItemListbox' windows.
02/07/2014 01:02:49 (Std) 	WindowFactory for 'CEGUI/ItemListbox' windows added. (01E2F700)
02/07/2014 01:02:49 (Std) 	Created WindowFactory for 'CEGUI/GroupBox' windows.
02/07/2014 01:02:49 (Std) 	WindowFactory for 'CEGUI/GroupBox' windows added. (01E2F7A8)
02/07/2014 01:02:49 (Std) 	Created WindowFactory for 'CEGUI/Tree' windows.
02/07/2014 01:02:49 (Std) 	WindowFactory for 'CEGUI/Tree' windows added. (01E2F850)
02/07/2014 01:02:49 (Std) 	Created WindowFactory for 'HorizontalLayoutContainer' windows.
02/07/2014 01:02:49 (Std) 	WindowFactory for 'HorizontalLayoutContainer' windows added. (01E2F8F8)
02/07/2014 01:02:49 (Std) 	Created WindowFactory for 'VerticalLayoutContainer' windows.
02/07/2014 01:02:49 (Std) 	WindowFactory for 'VerticalLayoutContainer' windows added. (01E2F9A0)
02/07/2014 01:02:49 (Std) 	Created WindowFactory for 'GridLayoutContainer' windows.
02/07/2014 01:02:49 (Std) 	WindowFactory for 'GridLayoutContainer' windows added. (01E2FA48)
02/07/2014 01:02:49 (Std) 	Window type alias named 'DefaultGUISheet' added for window type 'DefaultWindow'.
02/07/2014 01:02:49 (Std) 	CEGUI::System singleton created. (01E42408)
02/07/2014 01:02:49 (Std) 	---- CEGUI System initialisation completed ----
02/07/2014 01:02:49 (Std) 	
02/07/2014 01:02:49 (Std) 	Started creation of Scheme from XML specification:
02/07/2014 01:02:49 (Std) 	---- CEGUI GUIScheme name: TaharezLook
02/07/2014 01:02:49 (Std) 	Started creation of Imageset from XML specification:
02/07/2014 01:02:49 (Std) 	---- CEGUI Imageset name: TaharezLook
02/07/2014 01:02:49 (Std) 	---- Source texture file: TaharezLook.tga in resource group: (Default)
02/07/2014 01:02:49 (Std) 	Started creation of Font from XML specification:
02/07/2014 01:02:49 (Std) 	---- CEGUI font name: DejaVuSans-10
02/07/2014 01:02:49 (Std) 	----       Font type: FreeType
02/07/2014 01:02:49 (Std) 	----     Source file: DejaVuSans.ttf in resource group: (Default)
02/07/2014 01:02:49 (Std) 	---- Real point size: 10
02/07/2014 01:02:49 (Std) 	===== Falagard 'root' element: look and feel parsing begins =====
02/07/2014 01:02:49 (Std) 	===== Look and feel parsing completed =====
02/07/2014 01:02:49 (Std) 	No window renderer factories specified for module 'CEGUIFalagardWRBase' - adding all available factories...
02/07/2014 01:02:49 (Std) 	Created WindowRendererFactory for 'Falagard/Button' WindowRenderers.
02/07/2014 01:02:49 (Std) 	WindowRendererFactory 'Falagard/Button' added. (01E2FEE0)
02/07/2014 01:02:49 (Std) 	Created WindowRendererFactory for 'Falagard/Default' WindowRenderers.
02/07/2014 01:02:49 (Std) 	WindowRendererFactory 'Falagard/Default' added. (01E30378)
02/07/2014 01:02:49 (Std) 	Created WindowRendererFactory for 'Falagard/Editbox' WindowRenderers.
02/07/2014 01:02:49 (Std) 	WindowRendererFactory 'Falagard/Editbox' added. (01E30768)
02/07/2014 01:02:49 (Std) 	Created WindowRendererFactory for 'Falagard/FrameWindow' WindowRenderers.
02/07/2014 01:02:49 (Std) 	WindowRendererFactory 'Falagard/FrameWindow' added. (01E30810)
02/07/2014 01:02:49 (Std) 	Created WindowRendererFactory for 'Falagard/ItemEntry' WindowRenderers.
02/07/2014 01:02:49 (Std) 	WindowRendererFactory 'Falagard/ItemEntry' added. (01E308B8)
02/07/2014 01:02:49 (Std) 	Created WindowRendererFactory for 'Falagard/ListHeader' WindowRenderers.
02/07/2014 01:02:49 (Std) 	WindowRendererFactory 'Falagard/ListHeader' added. (01E30960)
02/07/2014 01:02:49 (Std) 	Created WindowRendererFactory for 'Falagard/ListHeaderSegment' WindowRenderers.
02/07/2014 01:02:49 (Std) 	WindowRendererFactory 'Falagard/ListHeaderSegment' added. (01E30A08)
02/07/2014 01:02:49 (Std) 	Created WindowRendererFactory for 'Falagard/Listbox' WindowRenderers.
02/07/2014 01:02:49 (Std) 	WindowRendererFactory 'Falagard/Listbox' added. (01E30AB0)
02/07/2014 01:02:49 (Std) 	Created WindowRendererFactory for 'Falagard/Menubar' WindowRenderers.
02/07/2014 01:02:49 (Std) 	WindowRendererFactory 'Falagard/Menubar' added. (01E30B58)
02/07/2014 01:02:49 (Std) 	Created WindowRendererFactory for 'Falagard/MenuItem' WindowRenderers.
02/07/2014 01:02:49 (Std) 	WindowRendererFactory 'Falagard/MenuItem' added. (01E30C00)
02/07/2014 01:02:49 (Std) 	Created WindowRendererFactory for 'Falagard/MultiColumnList' WindowRenderers.
02/07/2014 01:02:49 (Std) 	WindowRendererFactory 'Falagard/MultiColumnList' added. (01E30CA8)
02/07/2014 01:02:49 (Std) 	Created WindowRendererFactory for 'Falagard/MultiLineEditbox' WindowRenderers.
